index	PHEO	TN	TP	CHLA	DOP	DON	NH4F	NO2F	NO3F	PC	PO4F	DO	PH	SALINITY	WTEMP	TotalDepth	null_count	SampleDate	LinearTime	DayLength	FallPeak	SpringPeak	PctTotalDepth	cruise_id	DATE_TIME	Latitude	Longitude	Discharge_Rappahannock	Discharge_Potomac	Discharge_Susquehanna	measurement_CHLA	interpolated_CHLA	measurement_PAR	WIND_RATIO_BWI	WIND_RATIO_ANDREWS	SKY_COVER_BWI	VISIBILITY_BWI	SKY_COVER_ANDREWS	VISIBILITY_ANDREWS	PRECIP24HR_BWI
12												9.71	8.0	19.82	8.463	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.7647058823529411	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
13												9.76	7.99	19.82	8.446	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.7058823529411765	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
14												9.78	7.99	19.83	8.474	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.6470588235294118	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
15												9.79	8.0	19.81	8.494	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.5294117647058824	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
16												9.79	8.0	19.82	8.465	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.5882352941176471	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
17	1.368	0.4379		7.1556	0.003	0.24	0.0045	0.0028	0.043	0.71116	0.001	10.4	8.04	18.56	7.837	17.0	1.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.4117647058823529	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
18												10.52	8.05	18.47	7.806	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.35294117647058826	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
19												10.58	8.05	18.43	7.808	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.29411764705882354	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
20												10.6	8.06	18.42	7.816	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.23529411764705882	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
21												10.62	8.06	18.41	7.824	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.17647058823529413	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
22												10.63	8.06	18.41	7.827	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.11764705882352941	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
23	1.368	0.3877	0.01	5.4468	0.0023	0.23115	0.0037	0.0025	0.049	0.58531	0.0008	10.63	7.98	18.12	7.768	17.0	0.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.058823529411764705	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
24												9.82	8.0	19.61	8.499	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.47058823529411764	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
25												9.56	8.03	19.57	8.36	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.45454545454545453	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
26												9.13	7.98	22.04	9.151	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.5151515151515151	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
27												9.06	7.98	22.39	9.226	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.5757575757575758	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
28												9.02	7.97	22.78	9.285	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.6363636363636364	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
29												8.94	7.97	22.98	9.311	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.696969696969697	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
30												8.7	7.94	23.91	9.382	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.9393939393939394	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
31												8.72	7.95	23.85	9.378	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.8181818181818182	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
32												8.7	7.94	23.9	9.381	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.8787878787878788	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
33	1.66608			2.67						0.5343899999999999		8.71	7.94	23.92	9.382	33.0	8.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.9696969696969697	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
34												9.82	8.03	19.03	8.196	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.42424242424242425	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
35	1.368	0.2866		2.67	0.0011	0.1982	0.0226	0.0008	0.0056	0.37439	0.0023	8.75	7.95	23.74	9.371	33.0	1.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.7575757575757576	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
36												9.91	8.03	18.96	8.213	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.3939393939393939	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
37												10.05	8.03	18.76	8.153	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.36363636363636365	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
38												10.16	8.04	18.5	8.006	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.3333333333333333	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
39												10.44	8.06	17.91	7.759	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.30303030303030304	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
40	1.368			4.3788						0.46502		10.49	8.06	17.86	7.761	33.0	8.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.2727272727272727	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
41												10.51	8.07	17.79	7.787	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.24242424242424243	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
42												10.58	8.07	17.6	7.777	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.21212121212121213	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
43												10.64	8.08	17.6	7.777	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.18181818181818182	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
44												10.68	8.08	17.47	7.779	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.15151515151515152	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
45												10.71	8.08	17.47	7.78	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.12121212121212122	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
46												10.71	8.08	17.46	7.781	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.09090909090909091	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
47												10.74	8.09	17.42	7.783	33.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.06060606060606061	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
48	1.368	0.3934		4.6992	0.0032	0.24580000000000002	0.0037	0.0036	0.0648	0.51859	0.0008	10.76	8.09	17.19	7.756	33.0	1.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.030303030303030304	0	2016-01-13	37.800129999999996	-76.17466	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
49	1.368	0.3076	0.0109	5.1264	0.0017499999999999998	0.212	0.0065	0.0008	0.0098	0.45776000000000006	0.0008	9.95	8.03	21.23	8.127	12.0	0.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.9166666666666666	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
50	1.368	0.3116		4.9128	0.0022	0.21860000000000002	0.0037	0.0008	0.0109	0.5113800000000001	0.001	9.94	8.04	21.18	8.108	12.0	1.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.8333333333333334	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
51												10.14	8.06	20.57	7.873	12.0	11.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.75	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
52												10.19	8.06	20.55	7.866	12.0	11.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.6666666666666666	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
53												10.37	8.07	20.18	7.723	12.0	11.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.5	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
54												10.27	8.06	20.4	7.835	12.0	11.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.5833333333333334	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
55	1.368	0.3382	0.0098	5.0196	0.0017499999999999998	0.2107	0.0037	0.002	0.0355	0.60452	0.0008	10.71	8.1	19.04	7.295	12.0	0.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.3333333333333333	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
56												10.74	8.1	18.99	7.328	12.0	11.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.25	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
57												10.75	8.1	18.99	7.332	12.0	11.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.16666666666666666	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
58	1.368	0.3462	0.0094	5.2332	0.0017499999999999998	0.2217	0.0071	0.0019	0.0352	0.60488	0.0008	10.7	8.06	18.98	7.32	12.0	0.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.08333333333333333	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
59												10.58	8.09	19.54	7.368	12.0	11.0	2016-01-14	0.06303843226788433	-0.9225796032807736	-0.3858067853346936	0.3858067853346936	0.4166666666666667	0	2016-01-14	37.58847	-76.16216	2460.7291666666665	17046.875	70489.58333333333	6.4867225	6.486722469329834	21.833248138427734	1.0693391115926327	1.7168141592920356	Scattered	10.0	Clear	10.0	0.0
60	1.368	0.3862	0.01525	9.612	0.0017499999999999998	0.21625	0.0037	0.0009	0.0081	0.9178799999999999	0.0008	9.93	8.06	21.96	8.122	10.0	0.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.5	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
61	1.368	0.3306		5.874	0.0027	0.21775	0.0037	0.001	0.0146	0.56563	0.0008	10.23	8.07	20.67	7.826	10.0	1.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.1	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
62												10.22	8.08	20.68	7.84	10.0	11.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.2	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
63	1.368	0.3358	0.01105	5.874	0.0017499999999999998	0.22205	0.0037	0.0012	0.0142	0.59199	0.0008	10.18	8.08	20.72	7.86	10.0	0.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.3	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
64												10.1	8.08	20.96	7.956	10.0	11.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.4	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
65												9.78	8.05	22.43	8.16	10.0	11.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.6	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
66												9.72	8.04	22.52	8.171	10.0	11.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.7	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
67												9.71	8.04	22.55	8.176	10.0	11.0	2016-01-15	0.0657781582952816	-0.9158018835537945	-0.4016303151896307	0.4016303151896307	0.8	0	2016-01-15	37.4868	-76.15633000000001	2232.9166666666665	14601.041666666666	59187.5		6.137852247766304	7.647466659545898	1.075839653304442	2.212795549374131	Scattered	9.825000000000001	Clear	10.0	0.0
