"ward_clusters"	"complete_clusters"
"OTU322"	NA	NA
"OTU323"	NA	NA
"OTU324"	NA	NA
"OTU326"	NA	NA
"OTU327"	NA	NA
"OTU328"	95	NA
"OTU331"	NA	NA
"OTU332"	43	NA
"OTU333"	54	84
"OTU334"	NA	NA
"OTU335"	NA	NA
"OTU336"	180	139
"OTU337"	82	108
"OTU338"	158	86
"OTU339"	188	NA
"OTU340"	141	165
"OTU341"	45	49
"OTU342"	14	16
"OTU343"	NA	NA
"OTU344"	NA	NA
"OTU345"	158	86
"OTU347"	187	131
"OTU348"	NA	26
"OTU349"	51	NA
"OTU350"	167	NA
"OTU351"	NA	NA
"OTU352"	NA	NA
"OTU354"	NA	NA
"OTU355"	NA	NA
"OTU356"	NA	NA
"OTU357"	132	NA
"OTU358"	NA	NA
"OTU360"	NA	NA
"OTU361"	43	NA
"OTU362"	NA	NA
"OTU363"	20	27
"OTU365"	87	156
"OTU367"	NA	NA
"OTU368"	NA	NA
"OTU369"	NA	143
"OTU370"	149	176
"OTU371"	NA	NA
"OTU372"	NA	NA
"OTU373"	NA	NA
"OTU374"	NA	NA
"OTU375"	NA	91
"OTU376"	93	80
"OTU378"	104	57
"OTU379"	NA	NA
"OTU380"	61	77
"OTU382"	NA	NA
"OTU383"	187	NA
"OTU385"	15	17
"OTU386"	NA	NA
"OTU387"	NA	75
"OTU388"	NA	100
"OTU389"	NA	NA
"OTU390"	NA	NA
"OTU391"	NA	26
"OTU392"	NA	NA
"OTU394"	NA	NA
"OTU395"	NA	NA
"OTU396"	NA	NA
"OTU397"	NA	NA
"OTU398"	NA	NA
"OTU399"	166	130
"OTU400"	136	121
"OTU401"	99	NA
"OTU402"	83	94
"OTU403"	NA	NA
"OTU405"	NA	NA
"OTU407"	NA	NA
"OTU408"	173	148
"OTU409"	95	NA
"OTU412"	158	134
"OTU414"	181	189
"OTU415"	149	176
"OTU416"	NA	100
"OTU417"	59	174
"OTU418"	NA	NA
"OTU420"	NA	NA
"OTU421"	NA	NA
"OTU422"	NA	NA
"OTU423"	NA	30
"OTU424"	NA	55
"OTU425"	NA	NA
"OTU426"	NA	NA
"OTU428"	NA	143
"OTU430"	33	33
"OTU431"	NA	NA
"OTU432"	NA	NA
"OTU434"	NA	55
"OTU435"	NA	NA
"OTU436"	149	176
"OTU437"	NA	NA
"OTU440"	NA	NA
"OTU441"	NA	NA
"OTU443"	NA	NA
"OTU445"	NA	NA
"OTU446"	NA	NA
"OTU447"	NA	NA
"OTU449"	NA	55
"OTU450"	NA	NA
"OTU451"	NA	NA
"OTU452"	NA	NA
"OTU453"	NA	24
"OTU454"	NA	NA
"OTU455"	NA	NA
"OTU456"	52	156
"OTU458"	NA	NA
"OTU459"	165	NA
"OTU461"	48	58
"OTU462"	NA	NA
"OTU463"	NA	NA
"OTU465"	133	152
"OTU469"	NA	NA
"OTU470"	167	89
"OTU471"	NA	NA
"OTU472"	NA	103
"OTU473"	187	NA
"OTU474"	NA	NA
"OTU475"	134	NA
"OTU476"	NA	NA
"OTU477"	NA	NA
"OTU478"	NA	NA
"OTU479"	119	133
"OTU480"	NA	NA
"OTU481"	180	139
"OTU482"	NA	NA
"OTU483"	102	NA
"OTU484"	NA	149
"OTU485"	NA	NA
"OTU486"	NA	NA
"OTU487"	NA	NA
"OTU490"	NA	NA
"OTU491"	136	121
"OTU494"	NA	NA
"OTU495"	137	NA
"OTU496"	NA	NA
"OTU497"	NA	NA
"OTU498"	NA	NA
"OTU499"	108	NA
"OTU500"	96	120
"OTU502"	60	NA
"OTU503"	NA	NA
"OTU504"	190	193
"OTU505"	NA	NA
"OTU508"	NA	NA
"OTU509"	180	139
"OTU511"	45	49
"OTU512"	62	78
"OTU514"	NA	NA
"OTU515"	73	93
"OTU516"	NA	NA
"OTU519"	NA	164
"OTU520"	93	NA
"OTU521"	NA	149
"OTU523"	NA	NA
"OTU524"	55	74
"OTU525"	99	NA
"OTU526"	77	NA
"OTU527"	NA	NA
"OTU528"	184	NA
"OTU530"	66	81
"OTU531"	165	NA
"OTU532"	24	37
"OTU533"	162	180
"OTU534"	NA	NA
"OTU536"	NA	NA
"OTU537"	126	147
"OTU538"	134	NA
