"ward_clusters"	"complete_clusters"
"OTU1754"	NA	NA
"OTU1755"	163	173
"OTU1767"	148	186
"OTU1771"	190	99
"OTU1775"	127	145
"OTU1778"	156	194
"OTU1784"	184	169
"OTU1785"	NA	NA
"OTU1786"	140	163
"OTU1787"	123	141
"OTU1791"	58	44
"OTU1792"	183	183
"OTU1793"	190	193
"OTU1799"	110	106
"OTU1800"	160	170
"OTU1805"	NA	NA
"OTU1806"	98	119
"OTU1807"	37	45
"OTU1815"	106	128
"OTU1817"	189	101
"OTU1820"	NA	NA
"OTU1821"	88	175
"OTU1826"	NA	NA
"OTU1829"	NA	NA
"OTU1835"	NA	NA
"OTU1840"	NA	179
"OTU1844"	NA	NA
"OTU1845"	2	2
"OTU1847"	143	190
"OTU1850"	NA	NA
"OTU1854"	52	156
"OTU1856"	NA	NA
"OTU1865"	NA	NA
"OTU1878"	141	165
"OTU1884"	187	23
"OTU1887"	NA	NA
"OTU1892"	169	172
"OTU1895"	41	41
"OTU1897"	NA	NA
"OTU1898"	153	NA
"OTU1899"	163	173
"OTU1902"	NA	NA
"OTU1908"	26	111
"OTU1910"	NA	NA
"OTU1912"	71	159
"OTU1916"	164	92
"OTU1917"	107	129
"OTU1920"	187	144
"OTU1926"	179	155
"OTU1927"	NA	NA
"OTU1931"	42	50
"OTU1936"	8	88
"OTU1939"	NA	NA
"OTU1944"	69	85
"OTU1949"	NA	NA
"OTU1951"	174	NA
"OTU1955"	151	181
"OTU1962"	NA	NA
"OTU1966"	175	68
"OTU1986"	143	190
"OTU1990"	NA	NA
"OTU2005"	48	58
"OTU2008"	78	NA
"OTU2011"	NA	NA
"OTU2012"	187	23
"OTU2021"	156	194
"OTU2027"	188	NA
"OTU2029"	173	132
"OTU2041"	182	53
"OTU2043"	34	69
"OTU2050"	173	148
"OTU2051"	144	NA
"OTU2056"	187	144
"OTU2062"	NA	NA
"OTU2066"	34	69
"OTU2073"	NA	NA
"OTU2075"	83	94
"OTU2084"	190	193
"OTU2085"	77	NA
"OTU2091"	NA	NA
"OTU2096"	118	137
"OTU2102"	73	93
"OTU2111"	NA	NA
"OTU2118"	182	NA
"OTU2123"	18	22
"OTU2125"	NA	NA
"OTU2138"	NA	NA
"OTU2139"	NA	NA
"OTU2162"	NA	NA
"OTU2166"	97	NA
"OTU2173"	178	182
"OTU2187"	160	170
"OTU2192"	174	NA
"OTU2194"	185	192
"OTU2208"	NA	NA
"OTU2212"	101	124
"OTU2214"	169	172
"OTU2217"	170	194
"OTU2218"	188	178
"OTU2230"	NA	166
"OTU2242"	NA	NA
"OTU2245"	NA	NA
"OTU2248"	NA	NA
"OTU2253"	NA	NA
"OTU2256"	NA	NA
"OTU2262"	NA	NA
"OTU2263"	74	NA
"OTU2272"	188	178
"OTU2277"	169	172
"OTU2280"	NA	NA
"OTU2281"	85	NA
"OTU2282"	178	182
"OTU2287"	NA	88
"OTU2292"	142	168
"OTU2295"	69	85
"OTU2303"	155	118
"OTU2304"	161	109
"OTU2307"	71	159
"OTU2313"	50	61
"OTU2316"	NA	NA
"OTU2323"	NA	NA
"OTU2339"	NA	NA
"OTU2350"	178	182
"OTU2354"	NA	NA
"OTU2358"	NA	NA
"OTU2367"	169	172
"OTU2372"	148	186
"OTU2385"	NA	190
"OTU2388"	144	NA
"OTU2398"	186	NA
"OTU2404"	NA	NA
"OTU2406"	157	NA
"OTU2419"	63	70
"OTU2424"	NA	NA
"OTU2425"	46	52
"OTU2427"	NA	NA
"OTU2436"	NA	NA
"OTU2440"	190	99
"OTU2455"	183	183
"OTU2457"	36	97
"OTU2467"	NA	NA
"OTU2468"	170	NA
"OTU2473"	NA	NA
"OTU2477"	151	181
"OTU2488"	NA	NA
"OTU2492"	NA	174
"OTU2499"	NA	NA
"OTU2501"	186	NA
"OTU2503"	170	194
"OTU2508"	63	70
"OTU2513"	85	NA
"OTU2514"	12	NA
"OTU2527"	166	NA
"OTU2528"	187	144
"OTU2530"	NA	NA
"OTU2540"	154	158
"OTU2550"	12	3
"OTU2558"	75	90
"OTU2570"	NA	NA
"OTU2573"	46	52
"OTU2600"	NA	NA
"OTU2613"	NA	NA
"OTU2618"	NA	NA
"OTU2620"	183	183
"OTU2640"	NA	NA
"OTU2641"	188	178
"OTU2647"	173	NA
"OTU2649"	170	194
"OTU2651"	155	4
"OTU2659"	79	104
"OTU2666"	190	193
"OTU2678"	41	41
"OTU2689"	NA	NA
"OTU2709"	83	94
"OTU2723"	75	90
"OTU2730"	178	182
"OTU2738"	2	2
"OTU2745"	160	170
"OTU2760"	147	154
"OTU2764"	153	140
"OTU2783"	85	NA
"OTU2787"	NA	NA
"OTU2791"	NA	NA
"OTU2798"	70	87
"OTU2812"	NA	181
"OTU2825"	NA	NA
"OTU2844"	58	44
"OTU2850"	NA	NA
"OTU2862"	112	158
"OTU2864"	NA	NA
"OTU2872"	152	191
"OTU2879"	NA	NA
"OTU2888"	124	126
"OTU2892"	27	34
"OTU2904"	NA	NA
"OTU2925"	56	67
"OTU2939"	179	NA
"OTU2950"	NA	NA
"OTU2951"	117	191
"OTU2958"	NA	NA
"OTU2961"	146	32
"OTU2962"	173	148
"OTU2966"	NA	NA
"OTU2976"	114	83
"OTU2982"	147	154
"OTU2985"	NA	NA
"OTU2990"	89	114
"OTU3008"	161	109
"OTU3024"	NA	NA
"OTU3031"	68	14
"OTU3036"	169	NA
"OTU3059"	183	183
"OTU3072"	12	3
"OTU3106"	40	47
"OTU3126"	129	161
"OTU3156"	175	7
"OTU3158"	190	193
"OTU3176"	170	194
"OTU3177"	168	96
"OTU3204"	NA	NA
"OTU3209"	190	NA
"OTU3221"	183	183
"OTU3256"	NA	NA
"OTU3276"	180	NA
"OTU3288"	125	146
"OTU3291"	67	NA
"OTU3331"	105	185
"OTU3364"	10	11
"OTU3373"	10	11
"OTU3389"	10	11
"OTU3399"	NA	NA
"OTU3409"	67	NA
"OTU3444"	190	193
"OTU3462"	85	69
"OTU3515"	129	161
"OTU3530"	128	185
"OTU3548"	150	NA
"OTU3552"	97	72
"OTU3567"	NA	NA
"OTU3569"	NA	NA
"OTU3594"	125	146
"OTU3617"	190	NA
"OTU3643"	68	NA
"OTU3652"	181	189
"OTU3657"	190	193
"OTU3665"	NA	NA
"OTU3674"	41	41
"OTU3686"	NA	191
"OTU3688"	190	193
"OTU3714"	155	118
"OTU3729"	NA	NA
"OTU3740"	68	14
"OTU3749"	157	31
"OTU3753"	NA	NA
"OTU3780"	186	NA
"OTU3789"	NA	NA
"OTU3814"	148	186
"OTU3818"	75	90
"OTU3845"	161	109
"OTU3846"	184	169
"OTU3865"	NA	NA
"OTU3913"	56	67
"OTU3967"	154	158
"OTU3975"	4	6
"OTU3998"	NA	NA
"OTU4037"	152	191
"OTU4060"	155	118
"OTU4063"	NA	NA
"OTU4073"	157	NA
"OTU4093"	175	7
"OTU4113"	168	96
"OTU4155"	27	34
"OTU4176"	29	36
"OTU4209"	29	36
"OTU4278"	183	183
"OTU4396"	4	6
"OTU4420"	NA	NA
"OTU4479"	182	53
"OTU4581"	152	191
"OTU4609"	NA	NA
"OTU4620"	14	16
"OTU4722"	NA	NA
"OTU4724"	175	68
"OTU4772"	178	182
"OTU4819"	NA	NA
"OTU4890"	190	193
"OTU4977"	NA	NA
"OTU4992"	155	118
"OTU4995"	190	193
"OTU5040"	147	154
"OTU5070"	190	193
"OTU5244"	182	53
"OTU5247"	NA	NA
"OTU5264"	190	66
"OTU5323"	152	191
"OTU5394"	129	161
"OTU5430"	183	183
"OTU5449"	157	31
"OTU5504"	NA	NA
"OTU5651"	147	154
"OTU5675"	NA	NA
"OTU5681"	154	158
"OTU5741"	169	172
"OTU5787"	70	87
"OTU5797"	154	NA
"OTU5882"	86	112
"OTU5899"	38	46
"OTU5920"	NA	NA
"OTU5961"	168	127
"OTU5993"	NA	NA
"OTU6030"	97	72
"OTU6106"	182	53
"OTU6180"	155	4
"OTU6223"	77	82
"OTU6224"	110	106
"OTU6352"	135	153
"OTU6381"	154	158
"OTU6500"	178	182
"OTU6605"	110	106
"OTU6838"	154	158
"OTU6890"	38	46
"OTU7024"	3	5
"OTU7222"	3	5
"OTU7256"	190	193
"OTU8548"	NA	NA
"OTU8829"	190	193
"OTU11966"	NA	NA
"OTU12431"	190	193
"OTU18996"	NA	NA
"OTU28186"	1	1
