OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU59	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU60	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
OTU61	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	
OTU62	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU63	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Balneola	
OTU64	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Cupriavidus	gilardii
OTU65	Bacteria	Actinobacteria	Actinobacteria	PeM15			
OTU66	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	
OTU67	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04	
OTU68	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
OTU69	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae		
OTU70	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU71	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
OTU72	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
OTU73	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	
OTU74	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU75	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU76	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade			
OTU77	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litorimicrobium	
OTU78	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
OTU79	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	
OTU80	Bacteria	Planctomycetes	OM190				
OTU81	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
OTU82	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU83	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU84	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
OTU85	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12_marine_group		
OTU86	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	
OTU87	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	
OTU88	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	
OTU89	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
OTU90	Bacteria	Planctomycetes	OM190				
OTU91	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Luminiphilus	
OTU92	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum	
OTU93	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	
OTU94	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	
OTU95	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU96	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	
OTU97	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade			
OTU98	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum	
