OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU14173	Bacteria						
OTU14174	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU14175	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	
OTU14176	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales			
OTU14177	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	
OTU14178	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	
OTU14179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			
OTU14180	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	
OTU14181	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		
OTU14182	Bacteria	Acidobacteria	Subgroup_6	Unknown_Order	Unknown_Family	Luteitalea	
OTU14183	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Perlucidibaca	
OTU14184	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
OTU14185	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	marinus
OTU14186	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	
OTU14187	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		
OTU14188	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae		
OTU14189	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	
OTU14190	Bacteria						
OTU14191	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	mle1-27		
OTU14192	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	
OTU14193	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter	
OTU14194	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	
OTU14195	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	
OTU14196	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	
OTU14197	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
OTU14198	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
OTU14199	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Denitratisoma	
OTU14200	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU14201	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	
OTU14202	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae		
OTU14203	Bacteria	Verrucomicrobia	Verrucomicrobiae	LD1-PB3			
OTU14204	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Hydrogenophilaceae		
OTU14205	Bacteria	Chloroflexi	Anaerolineae				
OTU14206	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group		
OTU14207	Bacteria	Planctomycetes	Phycisphaerae	Pla1_lineage			
OTU14208	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU14209	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU14210	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
OTU14211	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade		
OTU14212	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU14213	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14214	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Larkinella	
OTU14215	Bacteria	Chloroflexi	Anaerolineae				
OTU14216	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007		
OTU14217	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14218	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
OTU14219	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU14220	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Tardiphaga	robiniae
OTU14221	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
OTU14222	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
OTU14223	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485			
OTU14224	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula	
OTU14225	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	
OTU14226	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae		
OTU14227	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU14228	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14229	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae		
OTU14230	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade		
OTU14231	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	
OTU14232	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU14233	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae		
OTU14234	Bacteria	Omnitrophicaeota					
OTU14235	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
OTU14236	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU14237	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU14238	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Lloydbacteria			
OTU14239	Bacteria	Patescibacteria	ABY1	Candidatus_Magasanikbacteria			
OTU14240	Bacteria	Omnitrophicaeota					
OTU14241	Bacteria	Patescibacteria	Parcubacteria				
OTU14242	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU14243	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17		
OTU14244	Bacteria	Rokubacteria	NC10	Rokubacteriales			
OTU14245	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Anaeromyxobacter	
OTU14246	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	
OTU14247	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j			
OTU14248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis		
OTU14249	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU14250	Bacteria	Omnitrophicaeota					
OTU14251	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
OTU14252	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
OTU14253	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
OTU14254	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	
OTU14255	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	
OTU14256	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae		
OTU14257	Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	
OTU14258	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	MSBL3	
OTU14259	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU14260	Bacteria	Planctomycetes	vadinHA49				
OTU14261	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfonatronobacter	
OTU14262	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Candidatus_Raymondbacteria		
OTU14263	Bacteria	Proteobacteria	Deltaproteobacteria	MBNT15			
OTU14264	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17		
OTU14265	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)			
OTU14266	Bacteria						
OTU14267	Bacteria	Lentisphaerae	Oligosphaeria	P.palmC41			
OTU14268	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU14269	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales			
OTU14270	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts	
OTU14271	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae		
OTU14272	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU14273	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae		
OTU14274	Bacteria	Proteobacteria	Gammaproteobacteria	EC3			
OTU14275	Bacteria	Verrucomicrobia	Verrucomicrobiae	S-BQ2-57_soil_group			
OTU14276	Bacteria	Lentisphaerae	Oligosphaeria	SS1-B-02-17			
OTU14277	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	
OTU14278	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	
OTU14279	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU14280	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU14281	Bacteria	Proteobacteria	Gammaproteobacteria	JG36-TzT-191			
OTU14282	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	
OTU14283	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j			
OTU14284	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	
OTU14285	Bacteria	Planctomycetes	OM190				
OTU14286	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Oceanospirillum	multiglobuliferum
OTU14287	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus_Thiobios	
OTU14288	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
OTU14289	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU14290	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14291	Bacteria	Firmicutes					
OTU14292	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Finniella	
OTU14293	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	
OTU14294	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae		
OTU14295	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae		
OTU14296	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767		
OTU14297	Bacteria	Planctomycetes	BD7-11				
OTU14298	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41			
OTU14299	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	
OTU14300	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
OTU14301	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	
OTU14302	Archaea	Euryarchaeota	Thermoplasmata				
OTU14303	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767		
OTU14304	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41			
OTU14305	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	
OTU14306	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
OTU14307	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	
OTU14308	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
OTU14309	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU14310	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20		
OTU14311	Bacteria	WPS-2					
OTU14312	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
OTU14313	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae		
OTU14314	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group	
OTU14315	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae		
OTU14316	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales			
OTU14317	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14		
OTU14318	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU14319	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae		
OTU14320	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU14321	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae		
OTU14322	Bacteria	Bacteroidetes	Ignavibacteria	OPB56			
OTU14323	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	
OTU14324	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU14325	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	
OTU14326	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	
OTU14327	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter	
OTU14328	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2		
OTU14329	Bacteria						
OTU14330	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
OTU14331	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group		
OTU14332	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	
OTU14333	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
OTU14334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
OTU14335	Bacteria	Planctomycetes					
OTU14336	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41			
OTU14337	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae		
OTU14338	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	
OTU14339	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	
OTU14340	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU14341	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Phreatobacter	
OTU14342	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	
OTU14343	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family		
OTU14344	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales			
OTU14345	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
OTU14346	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae		
OTU14347	Bacteria	Chloroflexi	Dehalococcoidia	MSBL5			
OTU14348	Bacteria	Patescibacteria	ABY1	Candidatus_Komeilibacteria			
OTU14349	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14350	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU14351	Bacteria	Actinobacteria	Actinobacteria	Frankiales			
OTU14352	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae		
OTU14353	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae		
OTU14354	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	PRD18C08		
OTU14355	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	
OTU14356	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	ST-12K33		
OTU14357	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU14358	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
OTU14359	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
OTU14360	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	MWH-UniP1_aquatic_group	
OTU14361	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales			
OTU14362	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23	
OTU14363	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Carboxylicivirga	
OTU14364	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	
OTU14365	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1		
OTU14366	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	
OTU14367	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	anseonense
OTU14368	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU14369	Bacteria	Patescibacteria	Parcubacteria				
OTU14370	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales			
OTU14371	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU14372	Bacteria	Planctomycetes	OM190				
OTU14373	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU14374	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
OTU14375	Bacteria	Patescibacteria	Parcubacteria				
OTU14376	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU14377	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14378	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria			
OTU14379	Bacteria	Patescibacteria	Parcubacteria				
OTU14380	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	
OTU14381	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
OTU14382	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae		
OTU14383	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU14384	Bacteria	Omnitrophicaeota					
OTU14385	Bacteria	Patescibacteria	Parcubacteria				
OTU14386	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	11-24			
OTU14387	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14388	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	
OTU14389	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Azospira	
OTU14390	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU14391	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
OTU14392	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae		
OTU14393	Bacteria	Acidobacteria	Subgroup_17				
OTU14394	Bacteria	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfurifustis	
OTU14395	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae		
OTU14396	Bacteria	Patescibacteria	ABY1	Candidatus_Magasanikbacteria			
OTU14397	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU14398	Eukaryota						
OTU14399	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU14400	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	
OTU14401	Bacteria	Patescibacteria	ABY1	Candidatus_Falkowbacteria			
OTU14402	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales			
OTU14403	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU14404	Bacteria	Actinobacteria	Actinobacteria	PeM15			
OTU14405	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
OTU14406	Bacteria	Proteobacteria	Deltaproteobacteria	PB19			
OTU14407	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU14408	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae		
OTU14409	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j			
OTU14410	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	
OTU14411	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Blastocatella	
OTU14412	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae		
OTU14413							
OTU14414	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Sva1033		
OTU14415	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU14416	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XII	Fusibacter	
OTU14417	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae		
OTU14418	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485			
OTU14419	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	
OTU14420	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae		
OTU14421	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae		
OTU14422	Bacteria	Proteobacteria	Deltaproteobacteria				
OTU14423	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	
OTU14424	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group	
OTU14425	Bacteria	Planctomycetes	vadinHA49				
OTU14426	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Smithella	
OTU14427	Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	Lutispora	
OTU14428	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	
OTU14429	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae		
OTU14430	Bacteria	Chloroflexi	KD4-96				
OTU14431	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84		
OTU14432	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Undibacterium	parvum
OTU14433	Bacteria	Acidobacteria	Subgroup_18				
OTU14434	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
OTU14435	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU14436	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU14437	Bacteria	Acidobacteria	Subgroup_17				
OTU14438	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira	
OTU14439	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Luminiphilus	
OTU14440	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae		
OTU14441	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	OM43_clade	
OTU14442	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
OTU14443	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	
OTU14444	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales			
OTU14445	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	
OTU14446	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales			
OTU14447	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	
OTU14448	Bacteria	Nitrospirae	4-29-1				
OTU14449	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	
OTU14450	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XII	Fusibacter	
OTU14451	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade	
OTU14452	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	
OTU14453	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41		
OTU14454	Bacteria	Nitrospirae	Thermodesulfovibrionia				
OTU14455	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	
OTU14456	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
OTU14457	Bacteria	Acidobacteria	Aminicenantia	Aminicenantales			
OTU14458	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12_marine_group		
OTU14459	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade		
OTU14460	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59			
OTU14461	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Labilibacter	
OTU14462	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae		
OTU14463	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
OTU14464	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae		
OTU14465	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	
OTU14466	Bacteria						
OTU14467	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	P13-46		
OTU14468	Bacteria	Marinimicrobia_(SAR406_clade)					
