#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
    69  OTU1068      251      524      773  5'&3'    227.32   0.998       0.06       0.03       0.09      5.86
    70  OTU1069      250      524      773  5'&3'    235.12   1.000       0.05       0.02       0.08      5.67
    71  OTU107       250      524      773  5'&3'    167.32   0.993       0.05       0.05       0.10      6.50
    72  OTU1070      250      524      773  5'&3'    233.77   1.000       0.05       0.03       0.08      5.62
    73  OTU1071      250      524      773  5'&3'    243.20   1.000       0.05       0.02       0.07      5.64
    74  OTU1072      250      524      773  5'&3'    230.33   1.000       0.05       0.02       0.07      5.65
    75  OTU1073      250      524      773  5'&3'    225.73   1.000       0.05       0.02       0.07      5.66
    76  OTU1074      251      524      773  5'&3'    210.20   0.997       0.06       0.03       0.08      5.82
    77  OTU1075      250      524      773  5'&3'    225.17   1.000       0.05       0.03       0.08      5.81
    78  OTU1078      250      524      773  5'&3'    156.97   0.999       0.05       0.03       0.09      6.08
    79  OTU1079      251      524      773  5'&3'    223.96   0.997       0.06       0.02       0.08      5.73
    80  OTU108       250      524      773  5'&3'    223.60   1.000       0.05       0.02       0.08      5.71
    81  OTU1081      250      524      773  5'&3'    230.59   0.999       0.05       0.02       0.08      5.76
    82  OTU1083      250      524      773  5'&3'    237.01   1.000       0.05       0.02       0.07      5.64
    83  OTU1084      250      524      773  5'&3'    234.48   1.000       0.05       0.02       0.07      5.64
    84  OTU1085      250      524      773  5'&3'    223.12   1.000       0.05       0.02       0.08      5.67
    85  OTU1086      250      524      773  5'&3'    237.34   1.000       0.05       0.02       0.07      5.65
    86  OTU1088      250      524      773  5'&3'    229.56   1.000       0.05       0.03       0.08      5.79
    87  OTU1089      250      524      773  5'&3'    225.38   1.000       0.05       0.02       0.08      5.68
    88  OTU109       250      524      773  5'&3'    234.29   1.000       0.05       0.02       0.07      5.65
    89  OTU1093      250      524      773  5'&3'    229.96   1.000       0.05       0.02       0.07      5.65
    90  OTU1094      250      524      773  5'&3'    241.27   1.000       0.05       0.02       0.07      5.67
    91  OTU1095      250      524      773  5'&3'    235.79   1.000       0.05       0.02       0.07      5.67
    92  OTU1096      250      524      773  5'&3'    216.91   1.000       0.05       0.02       0.08      5.79
    93  OTU1097      250      524      773  5'&3'    232.96   1.000       0.05       0.02       0.07      5.65
    94  OTU1098      250      524      773  5'&3'    233.04   1.000       0.05       0.02       0.07      5.68
    95  OTU1099      250      524      773  5'&3'    227.70   0.999       0.05       0.02       0.07      5.66
    96  OTU11        250      524      773  5'&3'    226.37   1.000       0.05       0.02       0.08      5.71
    97  OTU110       250      524      773  5'&3'    232.59   1.000       0.05       0.02       0.07      5.66
    98  OTU1100      250      524      773  5'&3'    239.66   1.000       0.05       0.02       0.07      5.63
    99  OTU1101      250      524      773  5'&3'    223.83   0.999       0.05       0.03       0.08      5.75
   100  OTU1103      250      524      773  5'&3'    236.38   1.000       0.05       0.02       0.07      5.64
   101  OTU1107      250      524      773  5'&3'    230.91   1.000       0.05       0.02       0.07      5.64
   102  OTU1109      250      524      773  5'&3'    237.82   1.000       0.05       0.02       0.07      5.66
   103  OTU111       250      524      773  5'&3'    224.85   0.999       0.05       0.02       0.08      5.73
   104  OTU1110      250      524      773  5'&3'    222.50   1.000       0.05       0.02       0.08      5.72
   105  OTU1111      250      524      773  5'&3'    237.47   1.000       0.05       0.02       0.07      5.62
   106  OTU11118     250      524      773  5'&3'    220.42   1.000       0.05       0.02       0.08      5.74
   107  OTU1115      250      524      773  5'&3'    233.32   1.000       0.05       0.02       0.07      5.64
   108  OTU1116      250      524      773  5'&3'    214.40   1.000       0.05       0.02       0.07      5.70
   109  OTU11160     250      524      773  5'&3'    229.67   1.000       0.05       0.02       0.08      5.67
   110  OTU1117      250      524      773  5'&3'    223.90   1.000       0.05       0.02       0.07      5.65
   111  OTU1118      250      524      773  5'&3'    222.70   1.000       0.05       0.03       0.08      5.76
   112  OTU112       250      524      773  5'&3'    225.94   1.000       0.05       0.02       0.07      5.67
   113  OTU1121      250      524      773  5'&3'    245.19   1.000       0.05       0.02       0.07      5.65
   114  OTU1123      250      524      773  5'&3'    222.05   1.000       0.05       0.02       0.08      5.72
   115  OTU1124      250      524      773  5'&3'    239.17   1.000       0.05       0.02       0.07      5.67
   116  OTU1127      250      524      773  5'&3'    217.30   1.000       0.05       0.02       0.08      5.78
   117  OTU1128      250      524      773  5'&3'    232.05   1.000       0.05       0.02       0.07      5.65
   118  OTU1129      250      524      773  5'&3'    231.29   1.000       0.05       0.02       0.07      5.67
   119  OTU113       250      524      773  5'&3'    235.20   1.000       0.05       0.02       0.07      5.64
   120  OTU1130      250      524      773  5'&3'    222.95   1.000       0.05       0.02       0.07      5.69
   121  OTU1131      250      524      773  5'&3'    235.56   1.000       0.05       0.02       0.07      5.68
   122  OTU1135      250      524      773  5'&3'    228.16   1.000       0.05       0.02       0.07      5.68
   123  OTU1137      250      524      773  5'&3'    214.37   1.000       0.05       0.03       0.08      5.75
   124  OTU1138      250      524      773  5'&3'    237.81   1.000       0.05       0.02       0.07      5.63
   125  OTU114       250      524      773  5'&3'    233.66   1.000       0.05       0.02       0.07      5.65
   126  OTU1140      249      524      773  5'&3'    225.66   0.997       0.05       0.03       0.08      5.72
   127  OTU1141      250      524      773  5'&3'    222.58   1.000       0.05       0.02       0.07      5.67
   128  OTU1145      250      524      773  5'&3'    227.74   1.000       0.05       0.02       0.07      5.71
   129  OTU1148      250      524      773  5'&3'    223.57   0.999       0.05       0.03       0.08      5.73
   130  OTU115       250      524      773  5'&3'    237.16   1.000       0.05       0.02       0.07      5.63
   131  OTU1150      250      524      773  5'&3'    215.69   1.000       0.05       0.02       0.08      5.81
   132  OTU1152      250      524      773  5'&3'    218.64   1.000       0.05       0.03       0.08      5.78
   133  OTU1153      250      524      773  5'&3'    226.69   1.000       0.05       0.02       0.07      5.64
   134  OTU1155      250      524      773  5'&3'    221.29   1.000       0.05       0.02       0.08      5.70
   135  OTU1158      250      524      773  5'&3'    231.78   1.000       0.05       0.02       0.07      5.64
   136  OTU1159      250      524      773  5'&3'    232.55   1.000       0.05       0.02       0.07      5.65
   137  OTU116       250      524      773  5'&3'    213.80   1.000       0.05       0.03       0.08      5.82
   138  OTU1160      250      524      773  5'&3'    226.58   0.999       0.05       0.02       0.07      5.66
   139  OTU1161      250      524      773  5'&3'    228.68   1.000       0.05       0.02       0.07      5.65
   140  OTU1163      250      524      773  5'&3'    228.76   0.999       0.05       0.02       0.08      5.73
   141  OTU1164      250      524      773  5'&3'    232.69   1.000       0.05       0.02       0.07      5.63
   142  OTU1165      250      524      773  5'&3'    217.15   1.000       0.05       0.03       0.08      5.74
   143  OTU1166      250      524      773  5'&3'    235.14   1.000       0.05       0.02       0.07      5.67
   144  OTU1167      250      524      773  5'&3'    230.63   0.999       0.05       0.02       0.08      5.73
   145  OTU117       250      524      773  5'&3'    227.23   1.000       0.05       0.02       0.08      5.71
   146  OTU1170      250      524      773  5'&3'    240.25   1.000       0.05       0.02       0.07      5.62
   147  OTU1171      250      524      773  5'&3'    209.82   1.000       0.05       0.03       0.08      5.93
   148  OTU1172      250      524      773  5'&3'    235.63   1.000       0.05       0.02       0.07      5.66
   149  OTU1173      250      524      773  5'&3'    222.80   1.000       0.05       0.02       0.08      5.67
   150  OTU1174      250      524      773  5'&3'    230.42   1.000       0.05       0.02       0.08      5.70
   151  OTU1175      250      524      773  5'&3'    224.81   0.999       0.05       0.02       0.08      5.73
